"Activity","Position","X","Y","Z","curtime","curdate"
"Classification Data","Pocket","0.53392327","4.747847","8.243488","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","-0.1699935","4.529968","8.746285","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.18914771","4.539545","9.562734","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.74222517","4.764607","8.209969","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.3264283","5.0591025","7.755056","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.2641771","5.140508","8.073495","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.5371244","5.03516","8.705584","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.5179702","5.054314","8.226728","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.376708","5.140508","7.491686","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.2785428","5.111777","7.6090055","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.175589","4.9346004","8.925857","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.5107874","4.9776974","9.694419","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.0008069","4.982486","8.581081","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.2617828","5.0591025","7.4845033","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","2.2554069","5.3105016","7.85801","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.8148603","5.1812105","8.379962","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.9529214","4.8843207","8.46855","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.063058","4.7693954","8.971348","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.4796618","4.767001","8.870789","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.8723229","4.8915033","7.937021","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","2.310475","5.0854397","7.4461946","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.5179702","4.98488","7.8364615","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.7645805","4.846012","8.547561","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","2.5020173","4.9705143","9.900327","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","2.430189","4.640105","8.734315","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","2.1596358","4.285752","7.0295906","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","2.0255566","3.7302802","7.4605603","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","2.3320236","3.677606","7.881953","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.1923488","3.1029801","6.612987","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","0.67279124","2.743839","6.63693","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.4796618","2.7486274","6.7398834","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.7406378","2.7151077","6.998465","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.8675344","2.6504622","7.266624","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.5658557","2.3296294","7.1564875","1614254944","25-02-2021 12:09:04"
"Classification Data","Pocket","1.759792","2.248224","5.9473786","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","2.3535721","2.1811843","7.0295906","1614254945","25-02-2021 12:09:05"
